product,outcome,event_year,specification,covariance,interpretation,term,estimate,std_error,p_value,ci_low,ci_high,ci_level,nobs
gasoline,exports_kt,2013,single event,HAC(1),associational interrupted trend,post,411.11602007947386,198.7530043467847,0.038595190297171136,21.567289740643048,800.6647504183047,0.95,34
gasoline,exports_kt,2013,single event,HAC(1),associational interrupted trend,post_trend,-22.41016518203452,24.235874531134076,0.35513803816624057,-69.91160639688889,25.09127603281984,0.95,34
gasoline,exports_kt,2022,single event,HAC(1),associational interrupted trend,const,247.12930443548342,88.27588982026658,0.0051180108930615024,74.11173968453494,420.1468691864319,0.95,34
gasoline,exports_kt,2022,single event,HAC(1),associational interrupted trend,trend,43.91399475806453,5.931225391101516,1.3227645105963653e-13,32.28900660731607,55.538982908813,0.95,34
gasoline,exports_kt,2022,single event,HAC(1),associational interrupted trend,post,-270.8924700268813,174.49976567121777,0.12056786750657202,-612.905726053147,71.1207859993844,0.95,34
gasoline,exports_kt,2022,single event,HAC(1),associational interrupted trend,post_trend,69.27600524193588,84.58325207670903,0.41277075256723916,-96.50412252368656,235.05613300755832,0.95,34
gasoline,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,const,353.17391304347825,99.18206208313231,0.0003696353918045235,158.78064344812324,547.5671826388333,0.95,34
gasoline,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,trend,30.735177865612652,6.8228014346913035,6.644364629331493e-06,17.36273277994949,44.107622951275815,0.95,34
gasoline,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post,-312.2286785714291,311.6346785112266,0.3163889567390361,-923.0214247871515,298.56406764429335,0.95,34
gasoline,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post_trend,82.10611904761902,85.94297136770562,0.3393977811093625,-86.33900955744107,250.5512476526791,0.95,34
gasoline,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post_2013,353.87541271409714,211.74862290290082,0.09468114136364657,-61.144261951541694,768.895087379736,0.95,34
gasoline,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post_trend_2013,0.3487030867685092,45.006973649208156,0.9938182463034229,-87.86334431882273,88.56075049235974,0.95,34
gasoline,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,const,-0.12362235570113539,0.05820546378748443,0.03367883522897238,-0.23770296842805522,-0.009541742974215575,0.95,34
gasoline,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,trend,-0.021034160417624247,0.003765905002399368,2.3313633996124092e-08,-0.028415198591526233,-0.013653122243722261,0.95,34
gasoline,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,post,-0.7131417154893838,0.21402143083480937,0.0008619196757912926,-1.1326160118453403,-0.2936674191334272,0.95,34
gasoline,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,post_trend,0.03806970127958613,0.0269286613083253,0.1574428848548055,-0.014709505036608707,0.09084890759578096,0.95,34
gasoline,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,const,0.06827161072991794,0.08480642421258894,0.42080308224584295,-0.09794592638438199,0.23448914784421787,0.95,34
gasoline,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,trend,-0.0446018746263307,0.006341529017346654,2.0170534856125012e-12,-0.05703104310724583,-0.03217270614541558,0.95,34
gasoline,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,post,0.3071520346979685,0.18369711275743764,0.09451309192795396,-0.05288769037060259,0.6671917597665395,0.95,34
gasoline,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,post_trend,0.06994121826450073,0.09397038410767991,0.45670104280840573,-0.11423735019994696,0.2541197867289484,0.95,34
gasoline,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,const,-0.12362235570113485,0.058205463787484035,0.033678835228971984,-0.23770296842805388,-0.009541742974215811,0.95,34
gasoline,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,trend,-0.021034160417624282,0.0037659050023993346,2.331363399611629e-08,-0.028415198591526206,-0.01365312224372236,0.95,34
gasoline,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,post,0.47982489028317654,0.2793526628616064,0.08586387907594668,-0.06769626791093197,1.027346048477285,0.95,34
