product,value_column,target_year,target_value,baseline_start,baseline_end,baseline_n,baseline_mean,baseline_std,z_score,baseline_median,baseline_mad,robust_z_score,empirical_percentile,baseline_trend_per_year,baseline_trend_t_statistic,baseline_trend_residual_sd,trend_extrapolated_expectation,detrended_z_score,prediction_interval_low,prediction_interval_high,outside_prediction_interval
diesel,demand_kt,2022,4942.212,2013,2019,7,4830.965000000001,190.6399818453622,0.5835449569557634,4830.0,150.9449999999997,0.5014141382781022,71.42857142857143,87.48050000000025,16.830832143528884,27.5032922429299,5355.848000000002,-15.039508592151625,4332.277725715193,5329.652274284809,False
gasoline,demand_kt,2022,1073.189,2013,2019,7,1066.8337142857142,27.91120936538032,0.2276965369393358,1069.0,23.0,0.12284529528032653,57.14285714285714,-9.830821428571403,-2.6219504478620435,19.840122230146125,1007.8487857142861,3.2933372853133234,993.821931627738,1139.8454969436905,False
diesel,demand_kt,2022,4942.212,2013,2020,8,4782.274125,223.87065440653612,0.7144209026590981,4812.0,170.47249999999985,0.5151962385309465,75.0,25.859750000000417,0.7226004302131944,231.926701491459,4924.502750000003,0.07635709854067545,4220.792472531603,5343.755777468396,False
gasoline,demand_kt,2022,1073.189,2013,2020,8,1043.861375,69.9254730775917,0.41941260758375115,1068.165,27.835000000000036,0.1217403116799169,62.5,-21.8687738095237,-2.919361926165777,48.54685922337681,923.5831190476197,3.081679913915843,868.4838996568346,1219.2388503431653,False
diesel,demand_kt,2022,4942.212,2015,2020,6,4844.532166666667,225.31775752427208,0.4335203510216506,4876.9665,93.47249999999985,0.4708067811113456,66.66666666666666,-25.861914285714615,-0.4397240306498811,246.03647270003745,4728.1535523809525,0.8700272982698118,4218.92711134275,5470.137221990583,False
gasoline,demand_kt,2022,1073.189,2015,2020,6,1026.4818333333335,73.41095184076194,0.6362424882867695,1049.7975000000001,20.879500000000007,0.7556383342655111,83.33333333333334,-28.421685714285886,-2.1010344835305426,56.58947654181114,898.5842476190473,3.085463288425119,822.6529691889975,1230.3106974776695,False
diesel,refinery_output_kt,2022,4285.346,2013,2019,7,5405.026857142858,548.2532276051606,-2.0422695221216767,5399.0,534.0,-1.4066466896145102,0.0,-64.54614285714243,-0.5880278525519193,580.8331743039969,5017.750000000003,-1.2609541472517152,3970.873826672889,6839.179887612827,False
gasoline,refinery_output_kt,2022,2246.725,2013,2019,7,2460.827142857143,280.0575627970249,-0.7644933445782934,2501.064,163.06399999999985,-1.052036656003274,14.285714285714285,49.938642857143144,0.9333742006726249,283.11309594128136,2760.459000000001,-1.81458931912691,1728.2361024982479,3193.418183216038,False
diesel,refinery_output_kt,2022,4285.346,2013,2020,8,5327.305625,553.142018100993,-1.8837108570728012,5311.317,487.1885000000002,-1.4204111119021936,0.0,-94.84491666666611,-1.1336299017992757,542.2098609988851,4805.658583333337,-0.9596147557604228,3939.9907257052682,6714.620524294732,False
gasoline,refinery_output_kt,2022,2246.725,2013,2020,8,2397.733,314.7611791274685,-0.4797542073600084,2451.139,205.36099999999988,-0.6713804184224316,25.0,-8.77033333333309,-0.1675714672122297,339.18815128561846,2349.496166666668,-0.30299161771169375,1608.2922067977977,3187.1737932022024,False
